# CATH_ID	S35_REPS	DOMAINS	NAME
1.20.5.160	1	5	Bacterial aa3 type cytochrome c oxidase subunit IV
1.20.5.170	40	209	
1.20.5.190	2	21	
1.20.5.210	2	61	
1.20.5.220	6	28	
1.20.5.230	1	12	
1.20.5.240	1	8	
1.20.5.250	4	74	
1.20.5.260	2	59	
1.20.5.270	2	61	
1.20.5.290	1	19	
1.20.5.300	3	19	
1.20.5.320	7	42	6-Phosphogluconate Dehydrogenase, domain 3
1.20.5.340	4	18	
1.20.5.350	4	10	
1.20.5.360	1	3	
1.20.5.370	2	8	
1.20.5.390	1	2	
1.20.5.400	1	14	
1.20.5.420	14	120	Immunoglobulin FC, subunit C
1.20.5.430	1	27	
1.20.5.440	7	30	
1.20.5.450	1	1	
1.20.5.460	6	13	Single helix bin
1.20.5.470	2	5	Single helix bin
1.20.5.480	1	2	Single helix bin
1.20.5.490	2	16	Single helix bin
1.20.5.500	4	9	Single helix bin
1.20.5.510	11	62	Single helix bin
1.20.5.520	1	1	Single helix bin
1.20.5.530	1	2	Single helix bin
1.20.5.540	4	52	Single helix bin
1.20.5.550	1	1	Single Helix bin
1.20.5.560	1	64	Single Heli x bin
1.20.5.570	2	3	Single helix bin
1.20.5.580	2	10	Single Helix bin
1.20.5.590	1	1	Single helix bin
1.20.5.600	1	1	Single helix bin
1.20.5.620	1	1	F1F0 ATP synthase subunit B, membrane domain
1.20.5.630	1	1	Single helix bin
1.20.5.640	3	3	Single helix bin
1.20.5.650	2	4	Single helix bin
1.20.5.680	1	10	Single Helix bin
1.20.5.690	1	1	Single helix bin
1.20.5.700	2	21	Single helix bin
1.20.5.710	2	5	Single helix bin
1.20.5.730	3	12	Single helix bin
1.20.5.740	3	6	Single helix  bin
1.20.5.750	1	3	Single helix bin
1.20.5.760	1	1	Single helix bin
1.20.5.770	1	1	Single helix bin
1.20.5.780	2	3	Single helix bin
1.20.5.790	2	4	Single helix bin
1.20.5.800	1	2	Alr1493-like domains
1.20.5.810	3	28	AhpD-like 
1.20.5.820	2	9	Preprotein translocase SecE subunit
1.20.5.830	1	8	luxt domain from vibrio parahaemolyticus
1.20.5.840	1	2	hypothetical RNA methyltransferase 
1.20.5.850	1	1	Rbstp2229 protein
1.20.5.860	1	27	Photosystem q(b) protein helix
1.20.5.870	1	25	Voltage-gated potassium channel
1.20.5.880	2	25	Photosystem q(b) protein (single helix)
1.20.5.900	1	1	transmembrane domain of human cd4 
1.20.5.920	1	2	rhodobacter sphaeroides pufx membrane protein
1.20.5.930	1	2	Bicelle-embedded integrin alpha(iib) transmembrane segment
1.20.5.950	1	1	bacteriochlorophyll c-binding protein
1.20.5.960	1	4	Bacteriophage t4 gene product 9 (gp9)
1.20.5.970	1	2	Nonstructural RNA-binding protein
1.20.5.990	2	10	Nemo cc2-lz domain - 1d5 darpin complex 
1.20.5.1000	1	2	arf6 gtpase in complex with a specific effector, jip4 
1.20.5.1010	1	8	antiparallel coiled-coil tetramerization domain from trpm7 channels 
1.20.5.1030	1	1	Preprotein translocase secy subunit
1.20.5.1040	1	1	Sensor protein qsec.
1.20.5.1050	1	2	Coiled-coil dimerization domain from cortexillin I 
1.20.5.1060	1	8	Tetrabrachion 
1.20.5.1070	1	2	Head and neck region of the ectodomain of NDV fusion glycoprotein
1.20.5.1100	1	1	AF1437-like
1.20.5.1120	1	3	Capz alpha-1 subunit
1.20.5.1130	1	1	Connexin43
1.20.5.1140	1	2	Docking domain of the erythromycin polyketide synthase (DEBS)
1.20.5.1150	1	70	Ribosomal protein S8
1.20.5.1160	1	2	Vasodilator-stimulated phosphoprotein
1.20.5.1170	1	4	HIT-like
1.20.5.1180	1	2	Geminin coiled-coil domain 
1.20.5.1190	1	3	iswi atpase
1.20.5.1200	1	10	Alpha-tocopherol transfer 
1.20.5.1210	1	4	Integron cassette protein helical domain
1.20.5.1220	1	2	Regulatory protein rop
1.20.5.1230	1	1	Apolipoprotein A-I 
1.20.5.1240	1	2	Endo-n-acetylneuraminidase
1.20.10.10	1	1	Heat-stable enterotoxin B
1.20.20.10	4	305	F1FO ATP Synthase
1.20.50.10	1	3	Pheromone ER-1
1.20.50.20	2	9	
1.20.58.60	19	53	
1.20.58.70	6	20	
1.20.58.80	1	14	
1.20.58.90	9	27	
1.20.58.100	7	113	
1.20.58.110	2	316	
1.20.58.120	6	19	
1.20.58.130	1	1	
1.20.58.150	2	13	
1.20.58.160	3	13	
1.20.58.180	1	8	Class II aaRS and biotin synthetases; domain 2
1.20.58.190	3	50	Translin; domain 1
1.20.58.200	2	44	Translin; domain 2
1.20.58.220	7	24	Phosphate transport system protein phou homolog 2; domain 2
1.20.58.240	2	4	STAT; domain 1
1.20.58.250	1	7	Homologue of the theta subunit of DNA polymerase iii.
1.20.58.280	6	51	Hypothetical protein 1500032h18.
1.20.58.290	4	13	Hypothetical membrane protein ta0354_69_121.
1.20.58.300	1	1	FlgN-like
1.20.58.310	1	5	PPK N-terminal domain-like domains
1.20.58.320	1	2	TPR-like 
1.20.58.340	5	104	Magnesium transport protein CorA, transmembrane region
1.20.58.350	1	4	Thioesterase/thiol ester dehydrase-isomerase
1.20.58.360	1	4	Shigella T3SS effector IpaH defines
1.20.58.370	1	12	MalF N-terminal region-like
1.20.58.380	2	6	Flagellar protein flit.
1.20.58.390	5	390	Glr4197 protein
1.20.58.400	3	5	t-snare proteins 
1.20.58.410	2	4	Release factor
1.20.58.420	1	10	Alpha-hemoglobin stabilizing protein
1.20.58.430	1	1	Typo IV secretion system protein TraC
1.20.58.440	1	1	choline binding protein A
1.20.58.450	1	1	Cell division control protein 42 homolog
1.20.58.460	2	33	Hyaluronidase post-catalytic domain-like 
1.20.59.10	7	31	Chorismate Mutase Domain, subunit A
1.20.80.10	12	126	
1.20.80.30	1	12	
1.20.81.10	1	7	Receptor-associated Protein
1.20.82.10	2	184	ADP Ribosyl Cyclase; Chain A, domain 1
1.20.85.10	5	500	Membrane spanning alpha-helix pairs
1.20.89.10	1	57	Nitrogenase Molybdenum-iron Protein, subunit B, domain 4
1.20.90.10	5	486	Phospholipase A2
1.20.91.10	1	44	
1.20.91.20	1	3	Anaphylotoxins (complement system)
1.20.120.10	8	218	
1.20.120.20	4	17	Apolipoprotein
1.20.120.30	2	15	Aspartate receptor, ligand-binding domain
1.20.120.50	2	46	
1.20.120.70	2	43	
1.20.120.80	3	61	
1.20.120.140	14	78	
1.20.120.150	1	14	FKBP12-rapamycin-binding domain of FKBP-rapamycin-associated protein (FRAP)
1.20.120.160	11	52	
1.20.120.180	2	84	
1.20.120.220	1	1	F1F0 ATP synthase subunit A
1.20.120.230	13	97	
1.20.120.240	1	21	
1.20.120.260	3	8	Bacterial GAP domain
1.20.120.290	5	7	
1.20.120.310	4	37	
1.20.120.320	2	17	Group V grass pollen allergen
1.20.120.330	19	89	Nucleotidyltransferases  domain 2
1.20.120.340	3	10	
1.20.120.350	2	4	Voltage-gated potassium channels. Chain C
1.20.120.360	1	1	Domain from hypothetical 2610208m17rik protein
1.20.120.380	1	1	Type 1-topoisomerase catalytic fragment, domain 2
1.20.120.390	1	8	Hla class ii histocompatibility antigen, dr alpha chain. Chain D, domain 1
1.20.120.400	1	84	Nickel-containing superoxide dismutase, NiSOD
1.20.120.420	5	37	translation initiation factor eif-2b, domain 1
1.20.120.430	3	7	TrmE connector domain
1.20.120.440	3	5	YppE-like
1.20.120.450	14	38	dinb family like domain
1.20.120.460	1	4	protein pf1176 like
1.20.120.470	1	2	PG0775 C-terminal domain-like
1.20.120.490	2	2	TM1646-like domains
1.20.120.510	1	3	mg296 homolog like
1.20.120.520	2	3	nmb1532 protein domain like
1.20.120.530	6	25	GntR ligand-binding domain-like
1.20.120.540	1	8	Voltage-gated potassium channels
1.20.120.550	4	37	MAPEG domain-like
1.20.120.560	2	11	alix/aip1 in complex with the ypdl late domain 
1.20.120.570	1	1	MW0975(SA0943)-like
1.20.120.580	1	2	bsu32300 domain like
1.20.120.590	1	1	EF2947-like
1.20.120.600	1	1	Crystal structure from the mobile metagenome of halifax harbour sewage outfall
1.20.120.610	2	41	lithium bound rotor ring of v- atpase
1.20.120.620	1	1	Backbone structure of the membrane domain of e. Coli histidine kinase receptor kdpd,
1.20.120.630	1	1	RecG, N-terminal domain
1.20.120.640	2	7	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
1.20.120.650	1	3	Colicin D immunity protein
1.20.120.660	1	1	IL-4 antagonist (De novo design) like domain
1.20.120.670	2	12	N-acetyl-b-d-glucoasminidase 
1.20.140.10	29	374	Butyryl-CoA Dehydrogenase, subunit A, domain 3
1.20.140.20	2	55	
1.20.140.30	2	5	Mob1/phocein
1.20.140.40	2	25	Invertase/pectin methylesterase inhibitor family protein
1.20.140.50	1	9	alix/aip1 like domains
1.20.141.10	4	17	Chitosanase, subunit A, domain 1
1.20.142.10	2	36	Poly(ADP-ribose) Polymerase, domain 1
1.20.144.10	2	32	Vanadium-containing Chloroperoxidase, domain 1
1.20.150.10	2	11	Fertilization protein
1.20.150.20	1	174	
1.20.190.10	6	25	
1.20.190.20	3	162	
1.20.200.10	12	342	Fumarase/aspartase (Central domain)
1.20.200.20	1	6	RNA-binding protein She2p
1.20.210.10	4	123	Cytochrome C Oxidase, chain A
1.20.225.10	1	11	Bacteriocin AS-48
1.20.245.10	2	39	Lipoxygenase-1; Domain 5
1.20.250.10	1	1	Colicin Ia, domain 1
1.20.272.10	13	113	
1.20.810.10	2	104	Cytochrome Bc1 Complex; Chain C
1.20.840.10	2	62	Methyl-coenzyme M Reductase; Chain B, domain 2
1.20.850.10	1	11	Hydroxylamine Oxidoreductase; Chain A, domain 2
1.20.860.20	1	1	Photosystem I reaction center subunit X, PsaK
1.20.870.10	1	13	Son of sevenless (SoS) protein Chain: S domain 1
1.20.890.10	3	17	cAMP-dependent Protein Kinase, Chain A
1.20.890.20	2	31	mpn423 like domain
1.20.890.30	1	1	VCA0319-like
1.20.900.10	13	81	DBL homology domain (DH-domain)
1.20.910.10	23	241	Heme oxygenase-like
1.20.920.10	28	414	Histone Acetyltransferase; Chain A
1.20.930.10	2	2	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
1.20.930.20	2	46	N-terminal domain of cbl (N-cbl)
1.20.930.40	2	74	
1.20.940.10	1	2	Functional domain of the splicing factor Prp18
1.20.950.20	2	12	Transmembrane di-heme cytochromes, Chain C
1.20.960.10	2	29	
1.20.960.20	7	180	
1.20.970.10	10	124	Transferase, Pyrimidine Nucleoside Phosphorylase; Chain C
1.20.970.20	1	1	Glycogen synthesis protein GlgS
1.20.990.10	6	39	NADPH-cytochrome p450 Reductase; Chain A, domain 3
1.20.1000.10	1	2	Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain
1.20.1020.10	3	15	CREB-binding Protein; Chain A
1.20.1050.10	79	1140	
1.20.1050.20	2	10	
1.20.1050.40	1	6	Endopeptidase. Chain P; domain 1
1.20.1050.50	2	21	Particulate methane monooxygenase subunit c2. Chain: C
1.20.1050.60	1	40	alpha-1,2-mannosidase
1.20.1060.10	3	207	Taq DNA Polymerase; Chain T, domain 4
1.20.1070.10	26	374	Rhopdopsin 7-helix transmembrane proteins
1.20.1080.10	9	178	Glycerol uptake facilitator protein.
1.20.1090.10	14	128	Dehydroquinate synthase-like - alpha domain
1.20.1110.10	3	81	Calcium-transporting ATPase, transmembrane domain
1.20.1120.10	1	13	Clostridium botulinum neurotoxin b, "coiled-coil" domain
1.20.1130.10	1	2	Photosystem I subunits PsaA/PsaB
1.20.1150.12	2	13	ERP29 C domain-like
1.20.1160.11	3	12	PAH2 domain
1.20.1170.10	2	33	
1.20.1180.10	5	29	
1.20.1200.10	6	47	
1.20.1220.12	3	22	
1.20.1230.10	2	3	
1.20.1240.10	2	9	
1.20.1250.10	30	255	
1.20.1250.20	8	36	MFS general substrate transporter like domains
1.20.1260.10	49	2079	
1.20.1270.10	5	83	
1.20.1270.20	2	28	
1.20.1270.30	1	34	
1.20.1270.50	4	64	Families 57/38 glycoside transferase middle domain
1.20.1270.60	10	57	Arfaptin, Rac-binding fragment, chain A
1.20.1270.70	2	2	Designed single chain three-helix bundle
1.20.1270.90	6	41	AF1782-like
1.20.1270.110	2	2	Vng1086c-like domain
1.20.1270.130	1	4	Shigella T3SS effector IpaH domain
1.20.1270.140	1	2	Avirulence protein AvrPto
1.20.1270.150	1	2	Surface Active Protein
1.20.1280.10	1	58	
1.20.1280.20	5	20	
1.20.1280.30	1	58	
1.20.1280.40	1	2	
1.20.1280.50	7	45	
1.20.1290.10	13	112	AhpD-like
1.20.1300.10	7	166	Fumarate reductase respiratory complex transmembrane subunits
1.20.1310.10	12	66	Cullin Repeats
1.20.1320.20	1	6	hef helicase domain
1.20.1330.10	3	12	f41 fragment of flagellin, N-terminal domain
1.20.1340.10	1	18	dopa decarboxylase, N-terminal domain
1.20.1370.10	1	4	Hemocyanin, N-terminal domain
1.20.1380.10	1	6	Replication modulator SeqA, C-terminal DNA-binding domain
1.20.1390.10	3	7	PWI domain
1.20.1400.10	1	2	Mollusk pheromone
1.20.1410.10	2	9	I/LWEQ domain
1.20.1420.10	6	12	A middle domain of Talin 1
1.20.1430.10	3	6	Families 57/38 glycoside transferase middle domain
1.20.1440.10	2	3	de novo design (two linked rop proteins)
1.20.1440.20	1	1	LemA-like
1.20.1440.30	2	4	Biosynthetic Protein domain
1.20.1440.40	1	1	YqcC-like
1.20.1440.50	4	7	Ta0600-like
1.20.1440.60	2	10	IVS-encoded domain-like
1.20.1440.70	1	3	PA2201 N-terminal domain-like
1.20.1440.80	1	6	Gap junction channel protein cysteine-rich domain
1.20.1440.90	1	2	Phosphoenolpyruvate/pyruvate domain 
1.20.1440.100	1	2	SG protein - dephosphorylation function
1.20.1440.110	2	6	acylaminoacyl peptidase
1.20.1450.10	1	21	particulate methane monooxygenase, chain B
1.20.1460.10	1	1	subunit c (vma5p) of the yeast v-atpase, domain 2
1.20.1480.10	1	1	hypothetical protein mp506/mpn330, domain 1
1.20.1480.20	1	2	MAST3 pre-PK domain-like
1.20.1480.30	1	2	Designed four-helix bundle protein
1.20.1500.10	3	12	YheA/YmcA-like
1.20.1510.10	1	6	Cation efflux protein cytoplasmic domain-like
1.20.1520.10	1	1	Adp-ribosylation factor-like protein 2-binding protein domain
1.20.1530.10	1	10	Na+/H+ antiporter like domain
1.20.1540.10	1	27	Rhomboid-like domains
1.20.1550.10	1	2	DsbB-like
1.20.1560.10	4	22	Putative multidrug export ATP-binding/permease protein like domains
1.20.1570.10	1	4	dip2346 domain like
1.20.1580.10	3	25	ABC transporter ATPase  like domain
1.20.1590.10	2	2	YP_001051499.1 domain like
1.20.1600.10	4	25	Outer membrane efflux proteins (OEP) 
1.20.1610.10	1	40	alpha-1,2-mannosidases domains
1.20.1630.10	1	8	Formate dehydrogenase/DMSO reductase domain
1.20.1640.10	2	210	Multidrug efflux transporter AcrB transmembrane domain
1.20.1650.10	1	2	PLP-dependent transferases
1.20.1660.10	1	2	Hypothetical protein (EF3068)
1.20.1670.10	1	16	Type II deoxyuridine triphosphatase
1.20.1680.10	1	16	Type II deoxyuridine triphosphatase
1.20.1690.10	1	4	V-type ATP synthase subunit C domain
1.20.1700.10	1	2	AF1104-like
1.20.1710.10	4	28	IpaD-like 
1.25.10.10	22	313	Leucine-rich Repeat Variant
1.25.10.20	1	1	Lipovitellin-phosvitin complex, superhelical domain
1.25.10.30	1	1	IP3 receptor type 1 binding core, domain 2
1.25.20.10	1	3	Bacterial muramidases
1.25.40.10	84	402	
1.25.40.20	42	293	
1.25.40.30	1	3	
1.25.40.40	1	52	
1.25.40.60	3	17	
1.25.40.70	5	60	
1.25.40.80	9	73	
1.25.40.90	15	122	
1.25.40.120	4	151	Protein prenylyltransferase
1.25.40.150	1	1	
1.25.40.170	1	1	
1.25.40.180	20	88	
1.25.40.190	2	19	
1.25.40.200	1	14	Ran-GTPase activating protein 1 (RanGAP1), C-terminal domain
1.25.40.210	2	13	Telomeric repeat binding factor (TRF) dimerisation domain
1.25.40.240	2	2	C-terminal domain of Ku80
1.25.40.250	1	1	ARM repeat; domain 1
1.25.40.270	2	5	Vacuolar protein sorting-associated protein vta1
1.25.40.280	4	25	alix/aip1 like domains
1.25.40.290	1	2	ARM repeat domains
1.25.40.300	2	13	Putative secreted effector protein
1.25.50.10	3	37	Metalloproteases ("zincins"), catalytic domain
1.25.60.10	1	2	MgtE N-terminal domain-like
1.40.10.10	1	11	Peridinin-chlorophyll Protein, Chain M
1.50.10.10	39	304	
1.50.10.20	19	324	
1.50.10.100	7	65	Chondroitin AC/alginate lyase
1.50.10.130	3	59	Isoprenoid Synthase - domain 1
1.50.40.10	1	9	Mitochondrial carrier domain
2.10.10.10	5	43	
2.10.10.20	4	52	
2.10.22.10	2	15	Antistasin; domain 1
2.10.25.10	57	618	Laminin
2.10.25.20	2	18	reovirus attachment protein sigma1; domain 1
2.10.25.30	1	7	Alliin lyase; domain 1
2.10.50.10	23	164	Tumor Necrosis Factor Receptor, subunit A, domain 2
2.10.50.20	1	1	Inosine monophosphate dehydrogenase (IMPDH)
2.10.55.10	1	1	Leishmanolysin domain 3
2.10.60.10	23	300	CD59
2.10.69.10	5	32	Cysteine Protease (Bromelain) Inhibitor, subunit H
2.10.70.10	53	422	Complement Module, domain 1
2.10.70.20	1	1	gspk-gspi-gspj complex like domains
2.10.70.30	1	1	Ta1353-like
2.10.70.40	1	3	peptidoglycan hydrolase 
2.10.77.10	5	481	Hemagglutinin Chain A, Domain 2
2.10.80.10	3	12	Lipase, subunit A
2.10.90.10	20	314	Cystine-knot cytokines
2.10.109.10	5	47	Umud Fragment, subunit A
2.10.110.10	21	64	Cysteine Rich Protein
2.10.150.10	2	62	Urease, beta-subunit
2.10.160.10	1	5	Heparin-binding domain from vascular endothelial growth factor
2.10.210.10	3	44	Cytochrome Bc1 Complex; Chain I
2.10.220.10	14	80	Hormone Receptor, Insulin-like Growth Factor Receptor 1; Chain A, domain 2
2.10.230.10	2	3	DnaJ/Hsp40 cysteine-rich domain
2.10.240.10	1	3	Dihydroorotate dehydrogenase b (pyrk subunit), domain 3
2.10.250.10	3	3	Calnexin lumenal domain, non-globular proline-rich hairpin domain
2.10.260.10	4	27	
2.10.270.10	6	27	Cholin Binding
2.10.280.10	1	1	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 1
2.10.290.10	1	2	YfgJ-like
2.10.300.10	1	2	Porin MspA ribbon domain
2.10.310.10	1	2	Serpins superfamily
2.20.20.10	6	21	Anthopleurin-A
2.20.20.20	1	3	Baseplate structural protein gp11
2.20.20.30	2	3	reverse gyrase domain 
2.20.20.40	1	4	Integron cassette protein 
2.20.25.10	26	316	
2.20.25.20	3	37	
2.20.25.30	3	134	
2.20.25.80	1	3	WRKY DNA-binding domain
2.20.25.90	4	23	ADC-like domains
2.20.25.100	1	2	Zn-binding ribosomal proteins
2.20.25.110	3	8	S-adenosyl-L-methionine-dependent methyltransferases
2.20.28.10	7	142	
2.20.28.20	1	11	
2.20.28.30	2	107	RNA polymerase ii, chain L
2.20.28.40	1	3	Nop10-like SnoRNP
2.20.28.50	3	5	degv family protein
2.20.50.20	1	1	Lipovitellin. Chain A, domain 3
2.20.60.10	1	1	Heparin-binding Growth Factor, Midkine; Chain A
2.20.70.10	16	77	
2.20.80.10	1	1	Lipovitellin-phosvitin complex, chain A, domain 4
2.20.90.10	1	1	Lipovitellin-phosvitin complex; chain B beta-sheet shell regions
2.20.100.10	3	8	TSP-1 type 1 repeat
2.20.110.10	1	3	Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain
2.20.120.10	1	6	Multimodular pneumococcal cell wall endolysin, domain 3
2.20.130.10	1	15	CAC2371-like domains
2.20.140.10	1	1	q64v53_bacfr domain like
2.20.150.10	4	11	putative 5-dehydro-2- deoxygluconokinase
2.20.160.10	1	3	titin domain like
2.20.170.10	1	2	p120GAP domain-like
2.20.180.10	1	1	putative fmn-dependent nitroreductase like domains
2.20.200.10	2	8	Outer membrane efflux proteins (OEP)
2.20.210.10	1	10	ubp-family deubiquitinating enzyme superfamily
2.20.220.10	1	6	alpha-Amylases
2.20.230.10	3	12	Resuscitation-promoting factor rpfb.
2.30.18.10	4	8	Transcription factor IIA (TFIIA), beta-barrel domain
2.30.22.10	2	4	Head domain of nucleotide exchange factor GrpE
2.30.24.10	2	5	SacY-like RNA-binding domain
2.30.26.10	1	165	Dihydroorotate Dehydrogenase A, chain A, domain 2
2.30.27.10	2	10	Phage FD Coat Protein,Membrane penetration domain
2.30.29.30	116	566	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)
2.30.29.40	1	6	PH domain-like; domain 1
2.30.29.50	1	6	BPHL domain 
2.30.30.10	2	19	
2.30.30.20	3	139	Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain
2.30.30.30	17	447	
2.30.30.40	111	706	SH3 Domains
2.30.30.50	5	117	
2.30.30.60	3	43	
2.30.30.70	2	118	Myosin S1 fragment SH3-like barrel
2.30.30.90	10	44	
2.30.30.100	38	939	
2.30.30.110	4	71	
2.30.30.130	1	4	mu transposase, C-terminal domain
2.30.30.140	48	388	
2.30.30.150	1	6	
2.30.30.170	3	4	
2.30.30.180	1	1	YhbC-like, C-terminal domain
2.30.30.190	7	52	
2.30.30.210	2	8	RNase P subunit p29-like
2.30.30.220	2	33	SspB-like
2.30.30.230	1	14	Fumarylacetoacetate hydrolase, FAH, N-terminal domain
2.30.30.240	3	8	PRC-barrel domain
2.30.30.280	1	6	Adenine nucleotide alpha hydrolases-like domains
2.30.30.290	2	6	YopX-like domains 
2.30.30.300	1	2	class i lysyl-tRNA synthetase like
2.30.30.310	1	4	YopX-like domains
2.30.30.320	1	2	pfam duf1653 like domain
2.30.30.340	1	2	Hypothetical protein YfhH like domains
2.30.30.350	1	2	mobile metagenome of vibrio cholerae. Integron cassette protein vch_cass4.
2.30.30.360	1	9	Myosin S1 fragment, N-terminal domain
2.30.30.370	1	4	FAH
2.30.30.380	2	13	Zn-finger domain of Sec23/24
2.30.30.390	1	1	YccV-like
2.30.30.400	1	1	Rof-like
2.30.30.410	1	2	Cell wall targeting domain of glycylglycine endopeptidase 
2.30.30.420	1	2	glucansucrase 
2.30.31.10	4	45	Transcriptional Coactivator Pc4; Chain A
2.30.32.30	1	3	Xylanase; Chain A
2.30.33.40	2	141	10 Kd Chaperonin, Protein Cpn10; Chain O
2.30.34.10	1	1	Leishmanolysin domain 4
2.30.36.70	2	63	Actin; Chain A, domain 2
2.30.38.10	5	24	Luciferase; Domain 3
2.30.39.10	33	318	Alpha-1-antitrypsin, domain 1
2.30.40.10	46	452	Urease, subunit C, domain 1
2.30.42.10	109	734	
2.30.60.10	7	45	HIV-inactivating Protein,Cyanovirin-n;
2.30.90.10	1	1	Heparin-binding Growth Factor, Midkine; Chain A- C-terminal Domain
2.30.110.10	68	311	Electron Transport, Fmn-binding Protein; Chain A
2.30.110.20	4	22	Hcp1-like
2.30.120.10	5	79	
2.30.130.10	14	67	
2.30.130.30	5	11	Hypothetical protein.
2.30.130.40	2	13	LON domain-like
2.30.140.10	10	137	
2.30.140.20	1	6	Penicillin-binding protein associated domain; domain 2
2.30.150.10	1	51	
2.30.160.11	1	6	
2.30.170.10	1	1	
2.30.170.20	4	118	
2.30.170.30	1	18	ethanolamine ammonia-lyase heavy chain domain like
2.30.170.40	2	65	Ribosomal protein L34p
2.30.180.10	4	10	FAS1 domain
2.30.210.10	1	10	Leucyl-tRNA synthetase, domain 3
2.30.220.10	1	3	f41 fragment of flagellin, C-terminal domain
2.30.230.10	1	1	Lipovitellin; beta-sheet shell regions, chain A
2.30.240.10	1	1	At5g01610-like
2.30.250.10	3	71	Aminopeptidase i, Domain 2
2.30.260.10	2	6	putative xylanase like domain
2.30.270.10	2	3	duf1285 protein 
2.30.280.10	1	35	SRA domain-like
2.30.290.10	1	2	BH3618-like
2.30.300.10	3	9	Baseplate protein-like domain - beta roll fold
2.30.310.10	1	1	ibrinogen binding protein from staphylococcus aureus domain
2.30.320.10	1	1	Hypothetical protein YwqG
2.30.330.10	3	10	Surface presentation of antigens (SPOA) 
2.30.340.10	1	6	PAZ domain superfamily
2.40.10.10	141	5502	Trypsin-like serine proteases
2.40.10.120	8	203	
2.40.10.170	2	209	
2.40.10.180	1	1	Phage tail proteins
2.40.10.190	3	70	translation elongation factor selb, chain A, domain 4
2.40.10.200	1	1	STY4665 C-terminal domain-like 
2.40.10.210	1	1	Phage tail proteins (gpFII-like)
2.40.10.220	4	11	predicted glycosyltransferase like domains
2.40.10.230	4	14	Probable tRNA pseudouridine synthase domain
2.40.10.240	1	3	QueA-like
2.40.10.250	1	10	Replicase NSP9
2.40.15.10	2	6	Oncogene products
2.40.20.10	6	111	Plasminogen Kringle 4
2.40.30.10	51	804	Translation factors
2.40.30.20	10	241	
2.40.30.30	6	39	Riboflavin kinase-like
2.40.30.40	8	66	Aminopeptidase/glucanase lid domain; domain 2
2.40.30.60	2	7	RimM N-terminal domain-like
2.40.30.70	3	6	YaeB-like domains
2.40.30.80	1	1	YkvR-like
2.40.30.90	5	70	Bacterial fluorinating enzyme like
2.40.30.100	1	1	AF2212/PG0164-like domains
2.40.30.110	4	32	Aminomethyltransferase beta-barrel domains
2.40.30.120	3	164	Positive stranded ssRNA viruses
2.40.33.10	6	244	PK beta-barrel domain-like
2.40.33.20	2	8	PK beta-barrel domain-like
2.40.33.40	1	2	PTSIIA/GutA-like
2.40.37.10	18	207	Lyase, Ornithine Decarboxylase; Chain A, domain 1
2.40.40.10	9	35	Barwin-like endoglucanases
2.40.40.20	25	296	
2.40.50.40	41	430	
2.40.50.50	1	50	
2.40.50.60	1	3	
2.40.50.70	1	161	
2.40.50.90	7	114	
2.40.50.100	38	464	
2.40.50.110	18	624	
2.40.50.120	7	66	
2.40.50.140	176	2146	Nucleic acid-binding proteins
2.40.50.150	3	169	
2.40.50.170	2	17	Cysteine proteinases. Chain C
2.40.50.180	3	10	CheA-289, Domain 4
2.40.50.200	1	1	Hypothetical protein YgiW
2.40.50.220	2	83	EutN/CcmL-like
2.40.50.230	1	1	gp5 N-terminal domain-like domain
2.40.50.240	1	1	NifT/FixU-like
2.40.50.250	1	1	bipa protein
2.40.50.260	1	3	Nucleic acid-binding protein domain
2.40.50.270	1	1	transglycosylase MltA 
2.40.70.10	40	3254	Acid Proteases
2.40.100.10	11	200	Cyclophilin-like
2.40.110.10	15	301	Butyryl-CoA Dehydrogenase, subunit A, domain 2
2.40.128.10	3	20	
2.40.128.20	54	898	
2.40.128.30	10	531	Avidin/streptavidin
2.40.128.50	3	3	
2.40.128.80	1	15	Dipeptidyl peptidase I (cathepsin C), exclusion domain
2.40.128.90	1	9	OMPT-like
2.40.128.100	1	2	OPCA outer membrane adhesin/invasin
2.40.128.110	6	17	YceI-like
2.40.128.120	2	4	Quinohemoprotein amine dehydrogenase A chain, domain 3
2.40.128.130	5	15	autotransporter esta
2.40.128.140	1	2	Putative outer membrane protein (lpxr)
2.40.128.150	3	43	Cysteine proteinases
2.40.128.160	1	5	C1 set domains (antibody constant domain-like)
2.40.150.20	2	361	Ribosomal Protein L14;
2.40.155.10	10	395	Green Fluorescent Protein
2.40.160.10	10	201	Porin
2.40.160.20	9	46	
2.40.160.30	1	25	Photosystem II, cytochrome c-550 precursor
2.40.160.40	2	9	monomeric porin ompg 
2.40.160.50	1	2	membrane protein fhac: a member of the omp85/tpsb transporter family 
2.40.160.60	3	33	Outer membrane protein transport protein (OMPP1/FadL/TodX) 
2.40.160.70	1	3	outer membrane protein from Thermus thermophilus HB27.
2.40.170.10	2	33	
2.40.170.20	9	64	
2.40.180.10	2	58	Catalase HpII,  Chain A, domain 1
